Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Pork Meatballs in Fig Sauce,North/Eastern European,,,,,Paleo,Appetizer,,,,
Pot Roast,American,12,"2 tbsp parsley,2 tsp thyme,3  bay leaves","6 lb. boneless beef chuck eye roast
salt and pepper to taste
6 tbsp vegetable oil
5 medium onions, chopped
2 large celery ribs, chopped
4 medium carrots, chopped
6 large garlic cloves, minced
1 cup red wine
28 oz. crushed tomatoes
2 cups beef broth


Prep:
Chop the onions, celery, carrots, and garlic. 

Directions:
Heat 2 tbsp oil olive oil in a large, deep pan until shimmering, but not smoking. Brown the roast thoroughly on all sides, which should take about 10 minutes. Spray a heavy oven-proof pot with cooking spray and add 2 tbsp oil. Transfer the roast to the pot.

Add 2 more tbsp oil to the pan and cook the vegetables for about 6 minutes until they’re lightly browned. Transfer them to the pot with the meat.

Preheat the oven to 300F.

Deglaze the pan with the wine. Stir in the crushed tomatoes and the 2 cups beef broth and bring to a boil. Add the crushed red pepper, bay leaves, thyme, and parsley. Transfer this mixture to the pot with the roast.

Cover the pot and cook for 4 hours (2 hours if halving the recipe). 

Once finished cooking, transfer the roast to a carving board and tent with foil. 

Discard the bay leaves. Allow the liquid in the pot to settle (~5 minutes) and skim the fat off the surface. Puree the vegetables in the blender until smooth.

Cut the roast into slices Pour 1 cup of gravy over the slices and serve with more gravy on the side.",Cook time depends on the size of the meat hunk(s).,Paleo,Entree,6 hours,,7.5,
Pulao,Indian/Bangali,,"0.25 cup crispy fried onions,16 oz water,1 tsp salt,0.5 tbsp ginger paste,2  cloves (whole),2  bay leaves,5  cardamom pods,1  cinnamon stick(s),1  onion(s),2 tbsp ghee,1 cup basmati rice","Prep:
Soak 1 cup basmati rice for 30 minutes. Drain and rinse until the water is clear. 

Directions:
Meanwhile, chop and caramelize 1 onion in a saucepan. About halfway through the caramelization process, add 1 cinnamon stick, 5 cardamom pods, 2 bay leaves, and 2 cloves to the pan to imbue the onions with their flavors.

Separately, boil 2 cups water via your method of choice.

Increase the heat and mix in 1/2 tbsp ginger paste and 1 tsp salt. Then stir in the rice thoroughly coating it with the onions and spice mixture. Pour in the boiling water and bring everything back to a boil. Then reduce the heat to a very low simmer, cover the pan with a well-fitted lid, and cook for ~15 min.

Next, fluff the rice with a fork and ensure that there is neither water remaining nor rice sticking to the bottom of the pan. After this, cover the pot again and let the rice rest for 10 min.

Serve the rice garnished with 1/4 cup crispy fried onions.","Source: p. 185 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Vegetarian",Side,,pulao.jpg (https://dl.airtable.com/.attachments/506842e65db7cfbb4f41e6ef9a2aa535/d42bfd13/pulao.jpg),10.0,10.0
Pumpkin Muffins,American,,,"Ingredients:

2 cups flour
2 ¼ tsp baking powder
¾ tsp baking soda
1 tsp salt
1 tsp cinnamon
1 tsp ginger
½ tsp nutmeg
¼ tsp cloves
3/8 cups unsweetened applesauce
15 oz. pumpkin puree
1 ¼ cups packed brown sugar
4 eggs
3 oz coconut oil or safflower oil
½ cups whole milk
1 recipe Caramel-Cream Cheese Frosting

***NEED TO CONVER RECIPE DIRECTIONS TO MAKE IT FOR MUFFINS, NOT CAKE***
For cupcakes, bake at 350 for 16-20 min

DOUBLE THE RECIPE
Prep:
Line 2 8-inch round cake pans with parchment paper.  Butter and flour the pans.  Set aside.  

In a medium bowl, whisk the 2 cups flour with the 2.25 tsp baking powder, ¾ tsp baking soda, 1 tsp salt, cinnamon, ginger, nutmeg, and cloves. 

In a separate bowl, mix 3/8  cups applesauce and 15 oz. pumpkin puree. Set aside. 

Preheat the oven to 350˚F.

In the large bowl of a mixer, beat the brown sugar and eggs at medium-high speed until fluffy, about 3 minutes.  Beat in the oil, then the applesauce and pumpkin puree.  Alternately add the dry ingredients and milk in 3 batches, beginning and ending with the dry and beating well after each addition.

Pour the batter into the prepared pans and smooth the tops.  Bake 40 - 45 minutes, until a toothpick inserted into the center of the cake comes out clean.  Let the cakes cool on a wire rack for 20 minutes.  Run a knife around the edges to loosen the cakes, then invert onto the wire rack to cool completely, removing the parchment paper first.

Place 1 layer on a plate and frost with 1 cup of the Caramel-Cream Cheese Frosting.  Top with the second layer and frost the top and sides with the remaining frosting.  Refrigerate the cake 2 hours before serving.

",https://docs.google.com/document/d/1P_f_JDcr3MMsqbrdY-YwlJdhJXIG9O0_/edit,"Vegetarian,Halal",Dessert,,IMG_5454.jpeg (https://dl.airtable.com/.attachments/c03a21cd5bafb50281b7bd752b387d84/40ab4de2/IMG_5454.jpeg),10.0,
Quiche Florentine,French,,,,,,Entree,,,,
Qurma Murghi,Indian/Bangali,,,,"Source: p. 139 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Paleo",Entree,,,,
Ragu,Italian,,,,,,,,,,
Rasmalai,Indian/Bangali,,,,"Source: p. 265 of ""My Bangladesh Kitchen"" by Saira Hamilton","Vegetarian,Halal",Dessert,,,,
Raspberry Macarons with Chocolate Ganache Filling,French,,,,"Ingredients

For the Meringue
200 grams confectioners' sugar
110 grams almonds
100 grams egg whites 
35 grams of granulated sugar
1 tsp raspberry extract
Pink food coloring gel/liquid
 
For the Ganache
6 ounces semisweet chocolate, chopped
1/3 cup heavy cream
2 tsp raspberry extract
 




Directions
For the Meringue
Line two large baking sheets with coated parchment paper.  In the bowl of a food processor, process the almonds and confectioners' sugar together until finely ground, about 2-3 minutes.  If using powdered food coloring, add it at this time; set aside.
 
In the bowl of a stand mixer fitted with the whisk attachment, beat the whites and salt on medium speed until foamy.  With the motor running, gradually add the granulated sugar, then increase speed to high and continue to beat until the whites hold soft, glossy peaks.  If using gel food coloring, fold it in at this time.  Using a runner spatula, fold in the almond mixture until it is thick and sticky.  When it is ready, the batter should drop from the spatula in a smooth molten mass. This will take about 1 minute or 50 strokes.
 
Spoon the batter into a pastry bag fitted with a large round tip (Ateco #808), pressing out excess air.  Twist the bag firmly just above the batter, then pipe 1 1/2-inch diameter rounds onto the prepared sheets, about 24 per sheet.  Tap the bottom of the baking sheets sharply, once, on the work surface to release any large air bubbles. Let the cookies stand, uncovered, at room temperature until the tops are no longer sticky and a light crust has formed, at least 30 minutes and up to an hour.
 
Meanwhile, start making the filling so that it cools in time.  Also, preheat the oven to 295° F. Bake the cookies until the tops are crisp and the bottoms dry, about 16 minutes.  Cool completely on racks.
 
For the Ganache
Chop the chocolate finely.  Add the chocolate and butter to a medium bowl.  In a small saucepan, heat the cream just until it comes to a simmer.  Pour the hot cream over the chocolate and let rest for five minutes.  Stir the chocolate until the mixture is smooth.  Stir in the raspberry extract.  Let stand at room temperature until cooled completely and thickened. 
 
To Assemble the Macarons
Carefully flip the cookies over on the baking sheets (they will be fragile) and partner them up in size.  Fill a pastry bag fitted with a round tip with the ganache and pipe or spoon kisses of ganache onto half of the cookie bottoms.  Sandwich the cookie halves together.  Enjoy immediately, or store in an airtight container in the refrigerator for up to one week or in the freezer for up to one month.  Bon appétit!
","Halal,Vegetarian","Cookies,Dessert",,Raspberry Macarons.jpg (https://dl.airtable.com/.attachments/4612eb5f136bcc115d99a25f81a57c94/d4ff48d1/RaspberryMacarons.jpg),,
Red Pepper Linguine,Mediterranean,,,,https://www.bbcgoodfood.com/recipes/red-pepper-linguine,"Vegetarian,Halal",Entree,,,,
Reshmi Kebabs,Indian/Bangali,,"2 tbsp ghee,3 tbsp olive oil,1  egg white(s),0.5 cup heavy cream,0.5 tsp chili powder,0.5 tsp garam masala,1 tsp sugar,1 tsp salt,1 tsp coriander,2 tbsp cilantro (fresh),2  green chili pepper(s),1 tbsp ginger paste,1.5 tsp garlic paste,1 lb chicken breasts,1 cup cashews","Prep:
Place 1 cup cashews in a bowl and soak in hot water for 1 hour.

Meanwhile, bake the chicken breasts for ~30 minutes at 375 until they reach 165ºF internally. Cut them into chunks and allow them to cool while the cashews finish soaking.

Directions:
Drain the cashews and grind them in the food processor until ","Source: p. 146 of ""My Bangladesh Kitchen"" by Saira Hamilton","Paleo,Halal",Entree,,reshmi_kebabs.png (https://dl.airtable.com/.attachments/80b68f8f10fbcc8282e1cdc08258f4b8/b38196a1/reshmi_kebabs.png),8.0,
Reuben Dip,North/Eastern European,6,"0.5 cup sour cream,1 tbsp ketchup,2 tsp brown mustard,4 tsp onion(s),1 cup sauerkraut,0.5 lb swiss cheese,0.5 lb corned beef brisket,6 oz cream cheese","Prep:
Take out all the ingredients. Also, get out a large bowl, a medium bowl, a medium corningware, a cutting board, a large knife, a spatula, and a wooden spoon. 

Let 6 oz. cream cheese soften on a small microwavable plate. Soften it for 15 seconds in the microwave, if needed to make it easy to mix. 

Directions:
Chop 1/2 lb corned beef, shred 1/2 lb Swiss cheese, and toss together in the medium bowl. Thoroughly drain 1 cup sauerkraut and toss it into the corned beef and cheese. 

Finely mince 4 tsp onion and place in the large bowl. At this point, preheat oven to 375 degrees.

Mix 2 tsp brown mustard and 1 tbsp ketchup with the minced onions. Next, mix in the 1/2 cup sour cream and 6 oz. cream cheese. 

Last, evenly mix the chunky ingredients from the medium bowl into the soft ingredients in the large bowl. Transfer this into a greased corningware. Bake for 30 minutes with a cover and an additional 5 minutes without the cover until browned. Serve with crackers or baguette.",,Halal,Appetizer,1.5 hours,reuben_dip.png (https://dl.airtable.com/.attachments/52057a1e082ff32bdaf22ca55c05e6c1/a356fcd4/reuben_dip.png),,
Rich Dark Chocolate Gelato (Gelato al Cioccolato Fondente),Italian,8,"1 tsp Kahlua,4 oz dark chocolate chips,0.5 tsp vanilla extract,0.75 cup heavy cream,2.25 cups milk,2 tbsp cornstarch,0.5 cup Dutch-processed cocoa powder,0.75 cup sugar","OPTIONAL INGREDIENTS:
1/2 tsp vanilla extract, optional
1 tsp kahlua, optional

Prep: 
Weight out 4 oz. chocolate chips.

Directions:
For the base...
In a medium saucepan, mix 3/4 cup sugar, 2 tbsp cornstarch, and 1/2 cup cocoa powder. Then whisk in 1.25 cups of the milk and 3/4 cup cream.

Set over medium heat and bring to a boil while whisking constantly. Use a spatula and whisk alternately. The whisk doesn't scrape the chocolate off the bottom of the pan. As such, it will create a layer of burnt chocolate if you don't move the chocolate touching the bottom around throughout the process. Use the spatula for scraping the bottom and sides.

When it boils, add 1/2 tsp vanilla extract if desired. Then lower the heat to the minimum and simmer for about 4 min or until the mixture is thick and creamy.

Remove from the heat and mix in the chocolate chips until they're completely melted. Use a whisk to help remove lumps. Next, mix in the coffee liqueur, if using, and finally, whisk in the remaining milk. Uncovered, let cool to room temperature, then chill in the refrigerator for AT LEAST 6 hours.

Churning the gelato...
Strain the gelato base through a fine mesh strainer to help ensure a silky smooth texture. Pour into the bowl of the gelato machine and follow the manufacturer directions.* Stop the machine when the gelato is icy but still soft.

Transfer the gelato to an airtight container and freeze until firm, about two hours. The gelato will keep, frozen, for up to two weeks. Always take the gelato out to room temperature 10 to 15 minutes before serving to soften it and make it easier to scoop.

* See notes","1 recipe makes about 2 pints

*Align the bowl with the arrows on the sides on the machine. Fill the bowl with the gelato base only up to the paddle's middle rung. Lock the lid. Set the machine to churn for 20-25min. One recipe takes 2 batches in the gelato machine. Between batches, thaw the bucket a little bit or the paddle will have a hard time stirring. It will cause the motor will overheat and stop churning the gelato.",Vegetarian,"Dessert,Gelato",2 hours ACTIVE work,IMG_4569.mov (https://dl.airtable.com/.attachments/642959ad01bcc9cdd3dc939104f0d609/c3f91222/IMG_4569.mov),,
Risotto alla Milanese,Italian,,"0.5 cup parmigiano reggiano,4 tbsp butter (unsalted),1 tbsp saffron threads,6 oz white wine,3 cups arborio rice,6 cups beef bouillon broth,1  onion(s),2 tbsp olive oil","Prep: 
Boil 4 cups of water in a small pot and add beef bouillon. Mince the onion. 

Directions: 
Sauté the onion in 2 tbsp olive over medium heat until translucent. Add the rice and stir with a wooden spoon until the rice is well coated. Add 6 oz. white wine to the rice.

Next, add a ladle of broth, stirring until it's absorbed.  Make sure to wipe the sides and bottom of the pot clean as you stir so that the risotto doesn't stick and burn. Repeat this with 2 more ladles of broth, then add 1.5 tbsp saffron threads.

Keep adding ladles of broth until the risotto is NEARLY cooked. It will keep cooking as it cools down. If making arancini, you want it to absorb any extra moisture so that it's easy to shape into balls later.

Remove from the heat and stir in 4 tbsp butter and 1/2 cup Parmigiano Reggiano. 

If making arancini, spread the risotto on a baking sheet so it cools faster and dries out a bit.",Source: https://www.manusmenu.com/saffron-risotto-risotto-alla-milanese,Vegetarian,Side,,IMG_5493.jpeg (https://dl.airtable.com/.attachments/b46c13b5be0f04b76b508517ba66fa86/c9f9d9f2/IMG_5493.jpeg),,
Roasted Okra,,,,"There's no need to blanch the okra. Simply wash it, cut off the stems and tips, and toss with olive oil and desired spices. 

Roast for 15-20 minutes at 400˚F, turning every 5 minutes.",,"Vegan,Paleo,Vegetarian,Halal",Side,,,,
Roasted Sausages,,,,"Place in a pan that allows for space in between the sausages, so that the juices can evaporate as they cook.
30 minutes at 400, turning after 15 min.
Then broil on low for 3 min on each side.",,,,,,,
Roman-Style Artichokes (Carciofi alla Romana),Italian,4,"  pepper to taste,  salt to taste,6  globe artichoke(s),1 cup olive oil,3 cloves garlic,2 tbsp mint (fresh),2 tbsp parsley (fresh)","Prep: 
Finely chop 2 tbsp fresh flat-leaf parsley, 2 tbsp fresh mint, and 3 cloves garlic. Combine in a small bowl. Add 1-2 tbsp olive oil and season with salt and pepper to taste.

Fill a medium-size bowl with water and some lemon juice to prevent the artichokes from oxidizing when you prep them.

Rinse each artichoke and pull off its rough outer leaves. Cut the stem, leaving only a small piece. With a paring knife, remove the hard dark green leaf remnants around the base, trimming the area into a rounded shape. Cut off the upper tip of each artichoke so that the top is flat and even. Also, peel the rougher bits of the stems you removed so you can add them to the pan later.

Directions: 
Gently open each artichoke, and use a knife and/or a small spoon to remove all of the central downy heart (i.e. the ""choke""). Fill the interior of each with the herb mixture and rub some of it on the outside of each one.

In a narrow saucepan, place the artichokes VERY tightly together to prevent them from opening during cooking. **They should be standing face-down, stem-up.** Pour over the remaining olive oil, then add 1/2 cup water.

Cover the pan and cook over moderate heat for ~25 min or until they are tender and the sauce has reduced. They can be served hot or cold.","Source: p. 678 of ""La Cucina: The Regional Cooking of Italy"" by Accademia Italiana della Cucina

Note: This site has step by step photos of how to prep the artichokes... https://www.recipesfromitaly.com/roman-style-artichokes/","Paleo,Vegan,Halal",Side,,,,
Romesco,Mediterranean,,,,,,,,,,
Russian Tea Cakes,,,,"2 sticks butter, softened
1 ½ cups confectioner’s sugar
1 tsp vanilla
2 ¼ cups flour
¼ tsp salt
¾ cup walnuts


Directions:
Prep
Take the butter out to soften. Grind up the walnuts finely in the food processor.

In the large bowl of a mixer, cream the butter and mix in ½ cup of the confectioner’s sugar and vanilla. Add the flour and salt. Beat in the walnuts and chill for 1 hour.

Main
Preheat the oven to 375 degrees. Roll the dough into 1-inch balls. Place them onto a cookie sheet lined with parchment paper.

Bake for 10-12 minutes until set but not browned. While the cookies are warm, roll each one in the remaining sugar. Let the cookies cool and then roll them again. 

",https://docs.google.com/document/d/1EeZVcvSvxyTwAGuO8sTQTfbTb8meQlGa/edit# ,"Vegetarian,Halal","Cookies,Dessert",,,,
Salmon Dip,American,,,,,,"Appetizer,Snack",,,,
Sardinian Stuffed Eggplants,Italian,6,"35 oz peeled tomatoes,3 cloves garlic,1 tbsp mint (fresh),1 tbsp basil (fresh),1 pinch nutmeg (fresh grated),0.5 cup white bread crumbs,2  egg(s),1 cup pecorino romano,0.5 lb veal (ground),4 oz white wine,2  bay leaves,1  onion(s),3  eggplant(s)","Prep:
Slice each of the 3 medium eggplants in half. Using a spoon, scoop the flesh out, leaving a 1/4-inch-thick shell. Chop the scooped out eggplant flesh and add it to the colander. Toss the chopped eggplant with 2 tbsp of kosher salt and let drain for 30 minutes.

Meanwhile, bring a large pot of salted water to a boil. Set a wire rack on a baking sheet. Add the 6 eggplant shells to the pot and cook, gently poking them under to keep them submerged, until just tender, about 3 minutes. Using a slotted spoon, transfer the eggplant shells to the wire rack to drain and cool.

Chop the onion and crush the bay leaves into a powder while the chopped eggplant is being salted and the shells are cooling.

Rinse the salt off the chopped eggplant thoroughly and squeeze out as much of the water as possible. This should yield about 4 cups of chopped eggplant. 

Directions: 
Lightly oil a 9-by-13-inch baking dish and arrange the eggplant shells in it, cut sides up.

In a large, deep skillet, heat 3 tbsp of olive oil until shimmering. Add the onion and bay leaf powder and cook over moderate heat until the onion is softened, about 5 minutes. Add the chopped eggplant and wine and cook over moderate heat, stirring occasionally, until tender and just beginning to brown, 15 minutes. Add the veal and cook over moderately high heat, stirring and breaking up the meat, until cooked through and lightly browned, about 5 minutes longer. 

Transfer the eggplant filling to a bowl and stir in 1/2 cup of the pecorino, 2 eggs, 1/2 cup bread crumbs, nutmeg, basil and mint. Season the filling with salt and pepper. Spoon the filling into the eggplant shells.

Preheat the oven to 350°. In a medium saucepan, heat 1 tablespoon of olive oil. Add the garlic and cook over moderate heat until golden, about 1 minute. Add the chopped tomatoes and cook over moderate heat, stirring, until thickened, about 10 minutes. Season with salt and pepper. Spoon half of the sauce over the eggplants and sprinkle with the remaining 1/2 cup of grated pecorino. 

Bake the eggplant until browned and bubbling, about 35 minutes. Let cool slightly, then serve, passing the remaining tomato sauce on the side.",Source: https://www.foodandwine.com/recipes/sardinian-stuffed-eggplant,Paleo,Entree,3 hours,IMG_3586.jpeg (https://dl.airtable.com/.attachments/4bfdd79aec8b7bb40b5d94b66a8725bd/96669008/IMG_3586.jpeg),,
Sesame Crusted Salmon,Asian,4,"2 lb salmon,0.5 cup sesame seeds,2 tsp cornstarch,1  egg white(s),3 tbsp water,1.5 tsp ginger paste,1 cloves garlic,2 tbsp sherry,0.5 tsp sugar,0.25 cup soy sauce,0.5 cup chicken bouillon broth","Prep:
Make 1/2 cup chicken broth from chicken bouillon & water. In a small bowl, combine 1/4 cup soy sauce, 2 tbsp sherry, 1/2 cup chicken broth, 1/2 tsp sugar, 1.5 tsp ginger. Crush 1 clove into the bowl and mix thoroughly.

Directions:
Whisk together 1 egg white and the 2 tbsp cornstarch. Slice the salmon into individual pieces. Brush the skinless side of the salmon with the egg-white mixture and then dip it into the sesame seeds to coat.

In a large nonstick frying pan, heat some olive oil over moderately high heat. Cook the salmon, sesame-seed side down, for ~5 mins. Flip and cook ~3 more mins until the middle is cooked.

Meanwhile, in another small bowl, stir together the 2 teaspoons cornstarch and the water. Once finished cooking salmon, pour any oil from the pan. Add the soy-sauce mixture and simmer for 2 minutes. Whisk in the cornstarch/water mixture. Continue whisking as it simmers until it thickens, about 1 minute longer.

Serve the salmon with the sauce poured around it.","- Can substitute masala or generic red cooking wine for the sherry.
- Adjust amount of sesame seeds as needed
- Can use tuna steaks instead if desired.
- Can use chicken instead of salmon if desired. In that case, marinate the chicken in the sauce overnight.","Seafood,Paleo",Entree,1 hour,IMG_3320.jpeg (https://dl.airtable.com/.attachments/cd5b8593a2948a8b8ee5207843aaaaf0/52569c52/IMG_3320.jpeg),,
Shakshuka,Mediterranean,,,,https://cooking.nytimes.com/recipes/1014721-shakshuka-with-feta,,,,,,
Shrimp Po' Boys,Cajun,4,"1  tomato(es),0.33 cup mayonnaise,0.5 cup canola oil,1 cup flour,1 cup cornmeal,4 tsp Emeril's Essence,0.5 cup hot sauce,2 lb shrimp","Prep:
Devein and peel the shrimp. 

Main:
Toss the shrimp with hot sauce and Essence. In another bowl, mix the cornmeal and flour. Toss the shrimp in the cornmeal mixture and fry in a skillet until golden brown on both sides. Pat off the grease with paper towels.

Slice a baguette. On each slice, spread mayo and hot sauce. Layer the sandwiches with tomato and shrimp.



",,"Seafood,Halal",Entree,,,,
Sicilian Vanilla Gelato (Gelato di Vaniglia),Italian,6,"4 oz dark chocolate chips,0.75 cup heavy cream,2.25 cups milk,1 tbsp vanilla extract,2 tbsp cornstarch,0.75 cup sugar","Ingredients
2 1⁄4 cups cups whole milk
3⁄4 cup heavy cream
1 vanilla bean, split lengthwise or 1 tbsp pure vanilla extract
3⁄4 cup sugar
2 tbsp. cornstarch
1 egg yolk


Prep: 
In a small bowl, whisk together 1 cup milk, 3/4 cup sugar, and 2 tbsp cornstarch. 

Directions:
For the base...
In a medium saucepan, 1.25 cups of the milk and 3/4 cup cream. Then add the split vanilla bean or 1 tbsp vanilla extract. Warm over low-medium heat until it just starts to bubble around the edge (no need to bring it to a boil), especially because you don't want it to curdle.

Meanwhile, In a small bowl, whisk the remaining 1 cup (250 ml) milk, sugar, and cornstarch together. Remove the saucepan with the hot milk from the heat and whisk in the cornstarch mixture. Return the saucepan to medium heat and cook, stirring regularly, until the sugar is dissolved and the mixture thickens slightly, 6 to 8 minutes.

Place the egg yolk in a medium bowl and whisk until pale and thickened, 30 seconds to 1 minute. Temper the egg yolk by slowly pouring one ladleful of the hot milk mixture into the yolk, whisking constantly, then slowly pour the egg yolk mixture back into the saucepan, whisking to combine.

Remove from the heat. Uncovered, let cool to room temperature, then chill in the refrigerator for AT LEAST 6 hours.

If using a vanilla bean, fish it out of the custard. (You can rinse the used vanilla bean under cold water, pat it dry, then add it to a jar of brown sugar to keep it moist and infuse some of the vanilla flavor into it.)

Churning the gelato...
Strain the gelato base through a fine mesh strainer to help ensure a silky smooth texture. Pour into the bowl of the gelato machine and follow the manufacturer directions.* Stop the machine when the gelato is thick and icy but still easily spoonable.

Transfer the gelato to an airtight container and freeze until firm, about two hours. The gelato will keep, frozen, for up to two weeks. Always take the gelato out to room temperature 10 to 15 minutes before serving to soften it and make it easier to scoop.

* See notes","1 recipe makes about 2 pints

*Align the bowl with the arrows on the sides on the machine. Fill the bowl with the gelato base only up to the paddle's middle rung. Lock the lid. Set the machine to churn for 20-25min. Stop the machine when the gelato is thick and icy but still easily spoonable. One recipe takes 2 batches in the gelato machine. Between batches, thaw the bucket a little bit or the paddle will have a hard time stirring. It will cause the motor will overheat and stop churning the gelato.",Vegetarian,"Dessert,Gelato",2 hours ACTIVE work,,,
Sopa Azteca (Tortilla Soup),Mexican/Latin,,,,,,Soup,,,,
Spaghetti Squash,Italian,,,,,,,,,,
Spanakopita,Greek,,,"3 tablespoons extra-virgin olive oil
1 cup finely chopped onion
5 scallions, trimmed and finely chopped (about 3/4 cup)
2 tablespoons minced garlic (~2 cloves?)
Freshly ground black pepper
32 oz fresh spinach, washed, dried, trimmed, and coarsely chopped
2 large eggs
8 oz crumbled feta
2 tbsp dried parsley (or 1/3 cup fresh)
1 tsp oregano
½ cup/115 grams unsalted butter (1 stick), melted
8 sheets frozen phyllo dough, thawed and halved crosswise (16 oz package)

Prep:
Trim the stems off the fresh spinach leaves (optional). 

Chop 1 cup onion. Trim and chop 3/4 cup of scallions (about 5 full stalks). Crush 2 large cloves of garlic.

Thaw the phyllo dough.

Directions:
In a large pot, heat oil over medium. Add 1 cup onion, 3/4 cup scallions, 2 large cloves of garlic, and freshly ground black pepper to taste. Cook, stirring occasionally, until softened, 5 minutes.

In batches, stir in spinach until wilted. Strain spinach mixture through a sieve, pressing out excess liquid to prevent a soggy crust. Transfer to a large bowl and cool for 5 minutes.

Pulse 8 oz feta in a food processor until it's finely crumbled. Add spinach mixture to a food processor and pulse until the mixture is very fine, but not a paste-like consistency.

Transfer the mixture back to the bowl, and mix in 2 eggs, 2 tbsp parsley, and 1 tsp oregano.

At this point, preheat oven to 375 degrees. 

Lightly grease a 9-by-13-inch pan (2 inches deep) with butter. Lay one half sheet of phyllo dough in baking dish. Using a pastry brush, brush dough with butter. Repeat 7 more times to form crust. 

Spread spinach mixture evenly over crust. Brush one half sheet of phyllo dough with butter and lay on top of filling, butter side up. Repeat with remaining 7 sheets of dough. 

Using a serrated knife, lightly score top layer of dough into squares (this will make it easier to cut once baked). Bake until crust is lightly golden and filling is heated through, 45-60 minutes.","Source: 

https://cooking.nytimes.com/recipes/1020101-spanakopita","Vegetarian,Halal",Entree,,,,
Spicy Aloo Mash,Indian/Bangali,,"0.5 tsp salt,1 tsp red pepper flakes,1 tsp mustard seeds,2 tbsp cilantro (fresh),1  green chili pepper(s),2  russet potato(es)","Prep:
Preheat the oven to 400˚F. Pierce several holes in 2 large potatoes and parboil them. 

Place the potatoes on a baking sheet, rub them with olive oil, and sprinkle with salt and black pepper. Roast them in the oven for 1 hour or until the potatoes are soft all the way through. You should be able to stick a fork into them with no resistance. 

Directions:
Let the potatoes cool just enough to handle. Meanwhile, chop 1 green chili and 2 tbsp fresh cilantro.

Remove the potato skins and thoroughly mash the potatoes. Mix in the green chili, the cilantro, 1 tsp mustard seeds, 1 tsp chili flakes, and 1/2 tsp salt.","Adapted from: p. 54 of ""My Bangladesh Kitchen"" by Saira Hamilton
- This is the filling from the Aloo Poori recipe","Halal,Vegan,Vegetarian",Side,,bangali_aloo.png (https://dl.airtable.com/.attachments/de2c30ddb2e509caff73f45e9cb1fcd6/d89f6067/bangali_aloo.png),,
Spicy BBQ Dry Rub,American,,,"* Leave out brown sugar to avoid excess sweetness


2 tablespoons (30 mL) cumin powder
2 tablespoons (30 mL) paprika
2 tablespoons (30 mL) brown sugar
1 tablespoon (15 mL) chili powder
2 to 3 teaspoons (10 to 15 mL) of cayenne pepper
2 teaspoons (10 mL) garlic powder
2 teaspoons (10 mL) onion powder
1 teaspoon (5 mL) mustard powder
1 tablespoon (15 mL) black pepper
3 tablespoons (45 mL) sea salt",https://www.thespruceeats.com/spicy-tomahawk-steak-rub-335876,"Paleo,Vegetarian,Halal",Condiment/Topping,,,,
Spicy Omelette with Kitchuri,Indian/Bangali,,,,"Source: p. 195 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Vegetarian",Entree,,,,
Spinach Pistachio Pesto,Italian,,,,,"Halal,Paleo,Vegetarian",Sauce,,,,
Struffoli,Italian,,,,https://www.nonnabox.com/authentic-struffoli-recipe/ ,Vegetarian,Dessert,,,,
Stuffed Clams,American,,,"Ingredients:

1 ½ tbsp butter
1 clove garlic, minced
2 oz. clam juice
5 oz. drained canned clams, juice reserved
1 tsp parsley
¼ tsp paprika
1/8 tsp salt
1/8 tsp black pepper
5 ½ oz. cream of celery soup
¼ cup grated parmesan
10 Ritz cracker, finely ground
6 slices bread, finely ground


Directions:

Prep
Preheat oven to 350 degrees.

Main
In a medium saucepan, melt the butter and sauté the garlic. Add all the clam juice, clams, parsley, paprika, salt, and pepper. Cook 1 minute at low heat. Stir in the cream of celery soup. Heat slightly.

After removing from heat, mix in the cheese, crackers, and bread crumbs. Spray a non-stick baking sheet. Ball the mixture and bake for 15 minutes.
",https://docs.google.com/document/d/1qG13Q4sfs1P-C8q1OTsv29XtDxo02W5X/edit,"Seafood,Halal",Appetizer,,clams_casino.jpg (https://dl.airtable.com/.attachments/a53fbcd62c729ded75e1b4458d526179/a7fbf143/ClamsCasino1.jpg),,
Swedish Meatballs,North/Eastern European,,,,,"Halal,Paleo",,,,,
Taco Seasoning,Mexican/Latin,,,"https://www.isabeleats.com/homemade-taco-seasoning-recipe/

4 tablespoons chili powder
1 tsp dried oregano
2 tsp garlic powder
2 tsp onion powder
2 tsp paprika
1 tsp cayenne
1.5 tsp ground cumin


- Watching your salt intake? Simply leave out the salt in this recipe and just add it as needed during the cooking process.

- Like your taco seasoning on the spicy side? Add 1 tablespoon ground cayenne pepper or red pepper flakes to the mix.

- Want more of a smoky flavor? Use smoked paprika instead of regular paprika. You could also add some ground chipotle powder.

***NOTE: When making ground beef, chicken or turkey tacos, I recommend using 2 tablespoons of seasoning per 1 pound of ground meat.***",,"Vegan,Halal,Paleo",Condiment/Topping,10 min,,,
